timestamp,strategy,session_id,competition_id,competition_name,question_number,question_id,level,question_text,options_json,chosen_option_id,chosen_option_text,time_remaining_before,decision_latency_seconds,submit_latency_seconds,total_latency_seconds,earned_before,correct,timed_out,game_over,earned_after,result_status,current_level_after,reached_level,error_message
2026-04-27T16:11:13,first_option,4293,0,Entertainment,1,376,1,Which of the following best describes Marlon Brando's approach to learning his lines for 'The Godfather'?,"[{""id"": 0, ""text"": ""He used cue cards to help with his delivery.""}, {""id"": 1, ""text"": ""He read from the script every time he was on set.""}, {""id"": 2, ""text"": ""He memorized all of his lines by heart.""}, {""id"": 3, ""text"": ""He improvised all of his dialogue on set.""}]",0,He used cue cards to help with his delivery.,30.009467,2.0999941625632346e-06,0.05910020000010263,0.059102299994265195,0,True,False,False,100,,2,,
2026-04-27T16:11:13,first_option,4293,0,Entertainment,2,293,2,What term describes Buster Keaton's signature facial expression in his silent films?,"[{""id"": 0, ""text"": ""Grin""}, {""id"": 1, ""text"": ""Laugh""}, {""id"": 2, ""text"": ""Deadpan""}, {""id"": 3, ""text"": ""Smirk""}]",0,Grin,30.000871,1.3000026228837669e-06,0.0726217000046745,0.07262300000729738,100,False,False,True,100,,,1,
2026-04-27T16:14:41,first_option,4334,0,Entertainment,1,561,1,What was the primary reason James Cameron switched from studying physics to English at Fullerton College?,"[{""id"": 0, ""text"": ""He was inspired by the success of Star Wars""}, {""id"": 1, ""text"": ""He found physics too difficult""}, {""id"": 2, ""text"": ""He was offered a job in the film industry""}, {""id"": 3, ""text"": ""He wanted to become a writer""}]",0,He was inspired by the success of Star Wars,29.994964,1.1000010999850929e-06,0.08222240000031888,0.08222350000141887,0,True,False,False,100,,2,,
2026-04-27T16:14:41,first_option,4334,0,Entertainment,2,301,2,How does the term 'classical' in the context of music differ from its use in literature and visual arts during the Renaissance?,"[{""id"": 0, ""text"": ""In music, it refers to formal and excellent compositions, while in literature and visual arts, it relates to works of classical antiquity.""}, {""id"": 1, ""text"": ""In both contexts, it refers to the music and art of the 18th century.""}, {""id"": 2, ""text"": ""In music, it is a term used for modern compositions, while in literature and visual arts, it refers to ancient works.""}, {""id"": 3, ""text"": ""It is the same in both contexts, referring to ancient Greco-Roman works.""}]",0,"In music, it refers to formal and excellent compositions, while in literature and visual arts, it relates to works of classical antiquity.",29.997355,1.0000003385357559e-06,0.07233529999939492,0.07233629999973346,100,True,False,False,200,,3,,
2026-04-27T16:14:41,first_option,4334,0,Entertainment,3,311,3,Which of these songs was NOT written by Bob Dylan?,"[{""id"": 0, ""text"": ""Like a Rolling Stone""}, {""id"": 1, ""text"": ""The Times They Are A-Changin'""}, {""id"": 2, ""text"": ""Blowin' in the Wind""}, {""id"": 3, ""text"": ""Hound Dog""}]",0,Like a Rolling Stone,30.000242,5.999972927384079e-07,0.0608250000004773,0.06082559999777004,200,False,False,True,200,,,2,
2026-04-27T16:15:46,first_option,4346,0,Entertainment,1,62,1,What is the primary setting of the film 'Jaws'?,"[{""id"": 0, ""text"": ""San Francisco""}, {""id"": 1, ""text"": ""Amity Island""}, {""id"": 2, ""text"": ""Hawaii""}, {""id"": 3, ""text"": ""New York City""}]",0,San Francisco,29.992857,1.3999961083754897e-06,0.07959510000364389,0.07959649999975227,0,False,False,True,0,,,0,
2026-04-27T16:15:47,first_option,4348,0,Entertainment,1,604,1,What is the fundamental principle that inspired Coppola to name his studio 'Zoetrope'?,"[{""id"": 0, ""text"": ""His love for puppet theater""}, {""id"": 1, ""text"": ""His interest in music and engineering""}, {""id"": 2, ""text"": ""The zoetropes he received from a friend""}, {""id"": 3, ""text"": ""The success of his first feature film""}]",0,His love for puppet theater,29.980726,1.400003384333104e-06,0.09268069999961881,0.09268210000300314,0,False,False,True,0,,,0,
2026-04-27T16:15:48,first_option,4349,0,Entertainment,1,548,1,What is the primary characteristic that defines jazz music?,"[{""id"": 0, ""text"": ""Strict adherence to classical forms""}, {""id"": 1, ""text"": ""Lack of rhythm""}, {""id"": 2, ""text"": ""Use of electronic instruments""}, {""id"": 3, ""text"": ""Improvisation""}]",0,Strict adherence to classical forms,30.000501,1.2000018614344299e-06,0.057555300001695286,0.05755650000355672,0,False,False,True,0,,,0,
2026-04-27T16:15:49,first_option,4351,0,Entertainment,1,34,1,What fundamental principle of genetics explains Audrey Hepburn's ability to be a style icon and influence fashion?,"[{""id"": 0, ""text"": ""Genetic mutation""}, {""id"": 1, ""text"": ""Polygenic inheritance""}, {""id"": 2, ""text"": ""Heredity and phenotype""}, {""id"": 3, ""text"": ""Mitochondrial DNA""}]",0,Genetic mutation,29.989641,7.100003131199628e-06,0.07056500000180677,0.07057210000493797,0,False,False,True,0,,,0,
2026-04-27T16:15:50,first_option,4352,0,Entertainment,1,556,1,What is the fundamental principle of Jack Nicholson's Irish identity as described in the article?,"[{""id"": 0, ""text"": ""His mother was of Irish descent.""}, {""id"": 1, ""text"": ""He identifies as Irish and compares himself to the playwright Eugene O'Neill.""}, {""id"": 2, ""text"": ""He is of Irish descent but does not identify as Irish.""}, {""id"": 3, ""text"": ""He was born in Ireland.""}]",0,His mother was of Irish descent.,29.98299,1.3999961083754897e-06,0.08119450000231154,0.08119589999841992,0,False,False,True,0,,,0,
